English,Överge,Syriac,Arabic
Adjunction,,ܚܒ݂ܵܫܵܐ  ،  ܚܒܵܩܵܐ  ،  ܩܦܵܠܵܐ,"ضَمْ  ,  إلحاق"
Administrator,,ܡܕܲܒܪܵܢܵܐ  ،  ܦܲܪܢܵܣܵܐ  ،  ܡܪܲܒܝܵܢܵܐ,"مُدَبّر  ,  مدير  ,  رجل الإدارة"
Admiration,,ܬܡܝ݂ܗܘ݂݂ܬ݂ܵܐ   ،   ܕܡܝ݂ܪܘ݂ܬ݂ܵܐ,إعجاب 
Admissible,,ܩܒܿܝ݂ܠܵܐ,مَقبول
Admitted,,ܢܵܡܘܿܣܵܝܵܐ ,"مُعتَرَف به  ,   مُسَلَّم به"
Admix,,ܡܵܙܹܓ݂ ،  ܡܙܵܓ݂ܵܐ ،  ܚܵܒܹܛ ، ܚܒ݂ܵܛܵܐ ،  ܚܵܒ݂ܹܟ݂  ،  ܚܵܠܹܛ ,"يمزج   ,   يخلط  "
Admonish,,ܙܵܗܹܪ  ،  ܙܘ݂ܗܵܪܵܐ  ، ܥܵܝܹܪ    -   ܠܵܝܹܡ  ،  ܠܝܵܡܵܐ ,"يحذّر ,  ينبه    -    يلوم , يعاتب "
Admonition,,"ܦܘ݂ܪܓܵܠܵܐ   ,   ܙܘ݂ܗܵܪܵܐ","إنذار ,  تنبيه"
Admonition,,"ܡܲܪܬܝܵܢܘ݂ܬ݂ܵܐ   ,   ܡ݀ܠܟܵܐ",نصيحة 
Adolescent,,ܫܵܪܚܵܐ   ،   ܓܵܗܠܵܐ ,مراهق
Adopt,,"ܐܲܒܲܪ  ,  ܣܵܡ ܦܠܵܢ ܠܲܒ݂ܪܵܐ",تَبنّى 
Adoption,,ܣܝ݂ܡܲܬ݂ ܒܢܲܝ̈ܵܐ,تَبنّي 
Adores,,ܫܵܢܹܓ݂ ، ܫܢܵܓܵܐ  ،  ܟܲܪܟܸܡ ، ܟܲܪܟܘܿܡܹܐ ، ܥܵܫܹܩ ,"يعشق ,  يهيم  ,  يغرم ,  يهوى  ,  يولع "
